conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
4721,"The dialogue is consistent with genuine communication because it discusses checking a meeting time, keeps the conversation focused on the original topic, and contains no hidden identity claim. The sender gives the receiver enough time to check the details before replying.",job recruitment,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,0,trust,Provides normal verification,Allow
4722,"The dialogue is consistent with genuine communication because it discusses clarifying assignment requirements, keeps the conversation focused on the original topic, and contains no hidden identity claim. The message includes normal context and does not ask the receiver to bypass official steps.",telecom support,WhatsApp,Real,Genuine Human Conversation,Email,None,None,Low,None,1,trust,Allows verification,Allow
4723,"The message reads like an AI-generated response because it summarizes sending a polite reminder, uses balanced formal wording, and does not react naturally to the receiver's concern. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",telecom support,Social Media DM,Fake,AI-Generated Text Conversation,Chat App,Template-Like Generation,Job Scam,Medium,Bank Officer,3,confusion,Allows verification,Verify First
4724,"The reply about following up on an appointment in hospital appointment is fluent and overly structured; it gives broad guidance, shares a shortened link instead of an official portal, and lacks personal conversational memory. The conversation attempts to control the receiver's next action rather than allow independent verification.",hospital appointment,Voice Transcript,Fake,AI-Generated Text Conversation,Text,LLM-Generated Reply,None,High,Bank Officer,6,confusion,Allows verification,Warn User
4725,"The message reads like an AI-generated response because it summarizes confirming attendance, uses balanced formal wording, and does not react naturally to the receiver's concern. The suspicious part is that the sender asks the receiver not to discuss the matter while demanding that the receiver send a one-time password.",family emergency,Chat App,Fake,AI-Generated Text Conversation,Text,LLM-Generated Reply,Job Scam,Medium,Customer Support,4,trust,Avoids verification,Verify First
4726,"A routine message from Michael discusses checking whether a refund was processed; the sender gives a clear non-financial purpose, keeps the tone calm, and gives no instruction involving money or secrecy. The request is linked to checking whether a refund was processed, and no confidential credential is requested.",utility billing,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,1,none,Allows verification,Allow
4727,"The sender creates a believable story around confirming a lab test schedule, but then changes the topic when asked for proof, applies fear pressure, and requests that the receiver click an unknown payment link. The suspicious part is that the sender refers to a blocked dashboard notification while demanding that the receiver move the chat to another number.",online shopping,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,Romance Scam,Critical,Clinic Staff,9,fear,Requests secrecy,Block and Escalate
4728,"The sender references asking about missing documents naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. The receiver is not given a safe chance to confirm the claim through the HR department.",exam registration,WhatsApp,Suspicious,Human + AI Edited Conversation,Chat App,Mixed Human-AI Editing,E-commerce Scam,Medium,Customer Support,8,trust,Pushes immediate action,Verify First
4729,"In a normal conversation about confirming attendance, the sender asks to check whether the office is open, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.",scholarship application,WhatsApp,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Allows verification,Allow
4730,"The dialogue is consistent with genuine communication because it discusses asking for class notes, does not introduce a sudden emergency, and contains no hidden identity claim. The request is linked to asking for class notes, and no confidential credential is requested.",property rental,Email,Real,Genuine Human Conversation,Email,None,None,Low,None,0,trust,No verification needed,Allow
4731,"The conversation shifts into template-style advice on sending a polite reminder, where the sender sounds helpful but avoids direct personal accountability. The receiver is not given a safe chance to confirm the claim through the government helpdesk.",insurance claim,SMS,Fake,AI-Generated Text Conversation,Chat App,Template-Like Generation,Phishing,High,Bank Officer,1,confusion,Avoids verification,Warn User
4732,"A scripted message from the pharmacy desk claims an opportunity is available, uses generic greetings, and pushes the receiver to install a remote access app. The conversation attempts to control the receiver's next action rather than allow independent verification.",travel booking,Chat App,Fake,Bot-Generated Conversation,SMS,Bot Script,Account Takeover,Medium,Bank Officer,6,authority,Pushes immediate action,Verify First
4733,"A suspicious sender pretends to be Relative, claims there is a problem in internet service, uses unusually polished wording for a personal emergency, and asks the receiver to reply with card details. The conversation attempts to control the receiver's next action rather than allow independent verification.",internet service,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Impersonation,Charity Scam,Critical,Relative,8,fear,Refuses call-back,Block and Escalate
